sid,ads,idx,E_MACE_D3_eV,E_bind_MACE_D3_eV,dE_rel_meV,converged,n_steps,d_min_ads_sub_A,site_type_raw_MLIP,fingerprint
S4,CH3O,17,-766.805274,-3.7427,1970435.7,True,84,0.98,unknown,"[1.12, 1.12, 1.22, 1.9, 2.04, 2.05, 2.83, 3.19, 3.28, 4.26]"
S4,CH3O,72,-766.801332,-3.7388,1974377.1,True,123,2.579,unknown,"[1.12, 1.13, 1.22, 1.91, 2.04, 2.05, 2.86, 3.17, 3.3, 4.32]"
S4,CH3O,284,-766.801106,-3.7386,1974603.4,True,105,0.981,unknown,"[1.12, 1.12, 1.22, 1.91, 2.04, 2.05, 3.35, 3.38, 3.51, 4.3]"
S4,CH3O,197,-764.908933,-1.8464,1986912.2,True,200,0.989,unknown,"[1.12, 1.12, 1.22, 1.91, 1.95, 2.05, 2.05, 2.74, 2.84, 3.8]"
S4,CH3O,49,-767.21426,-4.1517,1992203.4,True,200,2.535,unknown,"[1.12, 1.12, 1.22, 1.91, 2.04, 2.05, 2.5, 2.8, 3.04, 4.23]"
S4,CH3O,102,-766.776526,-3.714,1999183.7,True,125,0.979,unknown,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 2.67, 2.91, 3.1, 3.55]"
S4,CH3O,320,-766.760779,-3.6982,2014930.5,True,174,0.98,unknown,"[1.12, 1.12, 1.22, 1.91, 2.05, 2.05, 2.44, 3.23, 3.28, 4.33]"
S4,CH3O,53,-767.213055,-4.1505,2033322.8,True,200,0.98,unknown,"[1.12, 1.13, 1.22, 1.91, 2.04, 2.05, 2.71, 3.3, 3.36, 4.46]"
S4,CH3O,71,-766.732939,-3.6704,2042771.0,True,125,0.98,unknown,"[1.12, 1.12, 1.22, 1.91, 2.04, 2.05, 2.66, 3.0, 3.23, 4.4]"
S4,CH3O,184,-764.919751,-1.8572,2209426.2,True,200,0.987,unknown,"[1.11, 1.12, 1.23, 1.91, 2.03, 2.05, 2.44, 2.53, 2.68, 2.95]"
S4,CH3O,195,-766.381879,-3.3193,2393830.2,True,93,0.981,unknown,"[1.12, 1.12, 1.22, 1.91, 2.04, 2.05, 3.04, 3.04, 3.13, 3.57]"
