sid,idx,E_MACE_D3_eV,E_bind_MACE_D3_eV,dE_rel_meV,converged,n_steps,d_min_ads_sub_A,d_reactive_A,distance_bin,fingerprint
S2,4998,-600.732793,-2.2666,932.7,True,104,1.901,2.956,reactive-close,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.0, 3.3, 4.0, 4.2, 4.2, 4.2, 4.7, 4.8, 5.0, 5.1]"
S2,3696,-600.732777,-2.2666,932.7,True,78,1.903,3.087,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.1, 3.3, 4.0, 4.1, 4.2, 4.2, 4.3, 4.4, 5.1, 5.2]"
S2,1609,-600.732589,-2.2664,932.9,True,70,1.902,2.943,reactive-close,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 2.9, 3.2, 4.0, 4.2, 4.2, 4.3, 4.7, 4.8, 5.0, 5.1]"
S2,7495,-600.732376,-2.2662,933.1,True,77,1.901,3.137,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.1, 3.5, 4.3, 4.4, 4.5, 4.5, 4.9, 5.0, 5.2, 5.4]"
S2,8930,-600.731937,-2.2657,933.6,True,102,2.017,3.622,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.5, 3.6, 3.9, 4.2, 4.3, 4.3, 4.4, 4.4, 5.2, 5.5]"
S2,2491,-600.731901,-2.2657,933.6,True,67,2.022,5.313,thermodynamic,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.9, 4.0, 4.9, 5.0, 5.3, 5.3, 5.4, 5.5, 5.6, 5.8]"
S2,3793,-600.731873,-2.2657,933.6,True,125,1.906,2.653,reactive-close,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 2.7, 3.0, 3.4, 3.7, 3.7, 3.8, 4.2, 4.3, 4.6, 4.7]"
S2,4664,-600.731851,-2.2656,933.6,True,63,2.018,3.336,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.3, 3.3, 3.6, 4.0, 4.1, 4.3, 4.7, 4.8, 4.9, 5.2]"
S2,6762,-600.731694,-2.2655,933.8,True,108,2.012,3.708,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.3, 3.6, 3.7, 3.8, 3.8, 3.9, 4.3, 4.5, 4.8, 5.3]"
S2,10112,-600.731668,-2.2655,933.8,True,103,2.011,3.613,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.4, 3.5, 3.6, 3.6, 3.7, 3.9, 4.2, 4.2, 4.8, 5.3]"
